Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
M3 General Purpose Extra Large,m3.xlarge,4 vCPUs,15.0 GiB,M3,High,$0.266 hourly,$0.19 hourly,$0.19 hourly,$0.061700 hourly,$0.062600 hourly,80 GB                 (2 * 40 GB SSD),64-bit,AWS
M1 General Purpose Medium,m1.medium,1 vCPUs,3.75 GiB,M1,Moderate,$0.087 hourly,$0.056 hourly,$0.056 hourly,$0.008700 hourly,$0.008700 hourly,410 GB                 HDD,32/64-bit,AWS
T3A Medium,t3a.medium,2 vCPUs                                                         for a                   4h 48m                   burst,4.0 GiB,T3A,Up to 5 Gigabit,$0.0376 hourly,$0.0236 hourly,$0.0236 hourly,$0.012900 hourly,$0.014900 hourly,EBS only,64-bit,AWS
R5N Metal,r5n.metal,96 vCPUs,768.0 GiB,R5N,100 Gigabit,$7.152 hourly,$4.506 hourly,$4.506 hourly,$2.343300 hourly,$7.152000 hourly,EBS only,64-bit,AWS
M5DN Quadruple Extra Large,m5dn.4xlarge,16 vCPUs,64.0 GiB,M5DN,Up to 25 Gigabit,$1.088 hourly,$0.685 hourly,$0.685 hourly,$0.341500 hourly,$0.839600 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
IM4GN Double Extra Large,im4gn.2xlarge,8 vCPUs,32.0 GiB,IM4GN,Up to 25 Gigabit,$0.72758 hourly,$0.46662 hourly,$0.46662 hourly,$0.218300 hourly,$0.218300 hourly,3750 GB                 NVMe SSD,64-bit,AWS
R5AD 24xlarge,r5ad.24xlarge,96 vCPUs,768.0 GiB,R5AD,20 Gigabit,$6.288 hourly,$3.961 hourly,$3.961 hourly,$1.710000 hourly,$1.906200 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
R3 High-Memory Double Extra Large,r3.2xlarge,8 vCPUs,61.0 GiB,R3,High,$0.665 hourly,$0.418 hourly,$0.418 hourly,$0.136600 hourly,$0.162800 hourly,160 GB                 SSD,64-bit,AWS
M6A 16xlarge,m6a.16xlarge,64 vCPUs,256.0 GiB,M6A,25 Gigabit,$2.7648 hourly,$1.82892 hourly,$1.82892 hourly,$1.167600 hourly,$1.571700 hourly,EBS only,64-bit,AWS
M6GD 12xlarge,m6gd.12xlarge,48 vCPUs,192.0 GiB,M6GD,20 Gigabit,$2.1696 hourly,$1.3668 hourly,$1.3668 hourly,$0.857000 hourly,$0.857000 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
R6G Eight Extra Large,r6g.8xlarge,32 vCPUs,256.0 GiB,R6G,12 Gigabit,$1.6128 hourly,$1.0161 hourly,$1.0161 hourly,$0.598500 hourly,$0.622100 hourly,EBS only,64-bit,AWS
R5DN Quadruple Extra Large,r5dn.4xlarge,16 vCPUs,128.0 GiB,R5DN,Up to 25 Gigabit,$1.336 hourly,$0.842 hourly,$0.842 hourly,$0.310800 hourly,$0.453300 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,32 vCPUs,128.0 GiB,G5,25 Gigabit,$2.448 hourly,$1.54224 hourly,$1.54224 hourly,$0.943400 hourly,$1.031100 hourly,900 GB                 NVMe SSD,64-bit,AWS
IS4GEN Quadruple Extra Large,is4gen.4xlarge,16 vCPUs,96.0 GiB,IS4GEN,25 Gigabit,$2.3052 hourly,$1.57223 hourly,$1.57223 hourly,$0.691600 hourly,$0.691600 hourly,15000 GB                 (2 * 7500 GB NVMe SSD),64-bit,AWS
C6A 16xlarge,c6a.16xlarge,64 vCPUs,128.0 GiB,C6A,25 Gigabit,$2.448 hourly,$1.61935 hourly,$1.61935 hourly,$1.088200 hourly,$1.088200 hourly,EBS only,64-bit,AWS
C5A Eight Extra Large,c5a.8xlarge,32 vCPUs,64.0 GiB,C5A,10 Gigabit,$1.232 hourly,$0.776 hourly,$0.776 hourly,$0.542700 hourly,$0.727700 hourly,EBS only,64-bit,AWS
C6A Extra Large,c6a.xlarge,4 vCPUs,8.0 GiB,C6A,Up to 12.5 Gigabit,$0.153 hourly,$0.10121 hourly,$0.10121 hourly,$0.068000 hourly,$0.068000 hourly,EBS only,64-bit,AWS
R6G Metal,r6g.metal,64 vCPUs,512.0 GiB,R6G,25 Gigabit,$3.2256 hourly,$2.0321 hourly,$2.0321 hourly,$1.197000 hourly,$1.197000 hourly,EBS only,64-bit,AWS
M5AD Quadruple Extra Large,m5ad.4xlarge,16 vCPUs,64.0 GiB,M5AD,Up to 10 Gigabit,$0.824 hourly,$0.519 hourly,$0.519 hourly,$0.358900 hourly,$0.698700 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
C6G Quadruple Extra Large,c6g.4xlarge,16 vCPUs,32.0 GiB,C6G,Up to 10 Gigabit,$0.544 hourly,$0.3427 hourly,$0.3427 hourly,$0.272100 hourly,$0.358400 hourly,EBS only,64-bit,AWS
INF1 6xlarge,inf1.6xlarge,24 vCPUs,48.0 GiB,INF1,25 Gigabit,$1.18 hourly,$0.744 hourly,$0.744 hourly,$0.354000 hourly,$0.354000 hourly,EBS only,64-bit,AWS
G4AD Quadruple Extra Large,g4ad.4xlarge,16 vCPUs,64.0 GiB,G4AD,Up to 10 Gigabit,$0.867 hourly,$0.54621 hourly,$0.54621 hourly,$0.267100 hourly,$0.395900 hourly,600 GB                 NVMe SSD,64-bit,AWS
G4AD Double Extra Large,g4ad.2xlarge,8 vCPUs,32.0 GiB,G4AD,Up to 10 Gigabit,$0.54117 hourly,$0.34094 hourly,$0.34094 hourly,$0.230200 hourly,$0.246700 hourly,300 GB                 NVMe SSD,64-bit,AWS
R6GD Double Extra Large,r6gd.2xlarge,8 vCPUs,64.0 GiB,R6GD,Up to 10 Gigabit,$0.4608 hourly,$0.2903 hourly,$0.2903 hourly,$0.149600 hourly,$0.162300 hourly,474 GB                 NVMe SSD,64-bit,AWS
C6GD 16xlarge,c6gd.16xlarge,64 vCPUs,128.0 GiB,C6GD,25 Gigabit,$2.4576 hourly,$1.5483 hourly,$1.5483 hourly,$1.088200 hourly,$1.088200 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
M6GD Double Extra Large,m6gd.2xlarge,8 vCPUs,32.0 GiB,M6GD,Up to 10 Gigabit,$0.3616 hourly,$0.2278 hourly,$0.2278 hourly,$0.142800 hourly,$0.146700 hourly,474 GB                 NVMe SSD,64-bit,AWS
C5A Extra Large,c5a.xlarge,4 vCPUs,8.0 GiB,C5A,Up to 10 Gigabit,$0.154 hourly,$0.097 hourly,$0.097 hourly,$0.064800 hourly,$0.074400 hourly,EBS only,64-bit,AWS
R5A Quadruple Extra Large,r5a.4xlarge,16 vCPUs,128.0 GiB,R5A,Up to 10 Gigabit,$0.904 hourly,$0.57 hourly,$0.57 hourly,$0.297700 hourly,$0.400800 hourly,EBS only,64-bit,AWS
C6A Large,c6a.large,2 vCPUs,4.0 GiB,C6A,Up to 12.5 Gigabit,$0.0765 hourly,$0.0506 hourly,$0.0506 hourly,$0.034000 hourly,$0.034000 hourly,EBS only,64-bit,AWS
R5B Metal,r5b.metal,96 vCPUs,768.0 GiB,R5B,25 Gigabit,$7.152 hourly,$4.50576 hourly,$4.50576 hourly,$1.710000 hourly,$1.710000 hourly,EBS only,64-bit,AWS
M1 General Purpose Small,m1.small,1 vCPUs,1.7 GiB,M1,Low,$0.044 hourly,$0.028 hourly,$0.028 hourly,$0.004400 hourly,$0.004400 hourly,160 GB                 HDD                 + 900MB swap,32/64-bit,AWS
C5AD Eight Extra Large,c5ad.8xlarge,32 vCPUs,64.0 GiB,C5AD,10 Gigabit,$1.376 hourly,$0.867 hourly,$0.867 hourly,$0.587300 hourly,$0.992100 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
A1 Extra Large,a1.xlarge,4 vCPUs,8.0 GiB,A1,Up to 10 Gigabit,$0.102 hourly,$0.0643 hourly,$0.0643 hourly,$0.042300 hourly,$0.042400 hourly,EBS only,64-bit,AWS
R5B Eight Extra Large,r5b.8xlarge,32 vCPUs,256.0 GiB,R5B,10 Gigabit,$2.384 hourly,$1.50192 hourly,$1.50192 hourly,$0.624300 hourly,$1.100800 hourly,EBS only,64-bit,AWS
R6GD Eight Extra Large,r6gd.8xlarge,32 vCPUs,256.0 GiB,R6GD,12 Gigabit,$1.8432 hourly,$1.1612 hourly,$1.1612 hourly,$0.598500 hourly,$0.612300 hourly,1900 GB                 NVMe SSD,64-bit,AWS
C6G 16xlarge,c6g.16xlarge,64 vCPUs,128.0 GiB,C6G,25 Gigabit,$2.176 hourly,$1.3709 hourly,$1.3709 hourly,$1.088200 hourly,$1.088200 hourly,EBS only,64-bit,AWS
R6G 16xlarge,r6g.16xlarge,64 vCPUs,512.0 GiB,R6G,25 Gigabit,$3.2256 hourly,$2.0321 hourly,$2.0321 hourly,$1.197000 hourly,$1.626400 hourly,EBS only,64-bit,AWS
X2GD Metal,x2gd.metal,64 vCPUs,1024.0 GiB,X2GD,25 Gigabit,$5.344 hourly,$3.2932 hourly,$3.2932 hourly,$1.603200 hourly,$1.603200 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
C5AD 24xlarge,c5ad.24xlarge,96 vCPUs,192.0 GiB,C5AD,20 Gigabit,$4.128 hourly,$2.601 hourly,$2.601 hourly,$1.554600 hourly,$2.413800 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
M6GD Large,m6gd.large,2 vCPUs,8.0 GiB,M6GD,Up to 10 Gigabit,$0.0904 hourly,$0.057 hourly,$0.057 hourly,$0.035700 hourly,$0.035700 hourly,118 GB                 NVMe SSD,64-bit,AWS
T4G Large,t4g.large,2 vCPUs                                                         for a                   7h 12m                   burst,8.0 GiB,T4G,Up to 5 Gigabit,$0.0672 hourly,$0.0421 hourly,$0.0421 hourly,$0.020200 hourly,$0.020200 hourly,EBS only,64-bit,AWS
M5N Large,m5n.large,2 vCPUs,8.0 GiB,M5N,Up to 25 Gigabit,$0.119 hourly,$0.075 hourly,$0.075 hourly,$0.034000 hourly,$0.034800 hourly,EBS only,64-bit,AWS
R5B Double Extra Large,r5b.2xlarge,8 vCPUs,64.0 GiB,R5B,Up to 10 Gigabit,$0.596 hourly,$0.37548 hourly,$0.37548 hourly,$0.153900 hourly,$0.416500 hourly,EBS only,64-bit,AWS
M5DN Eight Extra Large,m5dn.8xlarge,32 vCPUs,128.0 GiB,M5DN,25 Gigabit,$2.176 hourly,$1.371 hourly,$1.371 hourly,$0.632500 hourly,$1.054800 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
R5DN Large,r5dn.large,2 vCPUs,16.0 GiB,R5DN,Up to 25 Gigabit,$0.167 hourly,$0.105 hourly,$0.105 hourly,$0.035600 hourly,$0.035600 hourly,75 GB                 NVMe SSD,64-bit,AWS
C5AD 16xlarge,c5ad.16xlarge,64 vCPUs,128.0 GiB,C5AD,20 Gigabit,$2.752 hourly,$1.734 hourly,$1.734 hourly,$1.058800 hourly,$1.354200 hourly,2400 GB                 (2 * 1200 GB NVMe SSD),64-bit,AWS
R5A Extra Large,r5a.xlarge,4 vCPUs,32.0 GiB,R5A,Up to 10 Gigabit,$0.226 hourly,$0.142 hourly,$0.142 hourly,$0.086600 hourly,$0.149900 hourly,EBS only,64-bit,AWS
M5N Quadruple Extra Large,m5n.4xlarge,16 vCPUs,64.0 GiB,M5N,Up to 25 Gigabit,$0.952 hourly,$0.6 hourly,$0.6 hourly,$0.430600 hourly,$0.658400 hourly,EBS only,64-bit,AWS
M5AD 24xlarge,m5ad.24xlarge,96 vCPUs,384.0 GiB,M5AD,20 Gigabit,$4.944 hourly,$3.115 hourly,$3.115 hourly,$1.632300 hourly,$3.488500 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
C6G Extra Large,c6g.xlarge,4 vCPUs,8.0 GiB,C6G,Up to 10 Gigabit,$0.136 hourly,$0.0857 hourly,$0.0857 hourly,$0.068000 hourly,$0.068000 hourly,EBS only,64-bit,AWS
M6G Metal,m6g.metal,64 vCPUs,256.0 GiB,M6G,25 Gigabit,$2.464 hourly,$1.5456 hourly,$1.5456 hourly,$1.142600 hourly,$1.142600 hourly,EBS only,64-bit,AWS
T3A Double Extra Large,t3a.2xlarge,8 vCPUs                                                         for a                   9h 36m                   burst,32.0 GiB,T3A,Up to 5 Gigabit,$0.3008 hourly,$0.1886 hourly,$0.1886 hourly,$0.090200 hourly,$0.166700 hourly,EBS only,64-bit,AWS
C5A 24xlarge,c5a.24xlarge,96 vCPUs,192.0 GiB,C5A,20 Gigabit,$3.696 hourly,$2.328 hourly,$2.328 hourly,$1.629500 hourly,$2.023100 hourly,EBS only,64-bit,AWS
C5A Quadruple Extra Large,c5a.4xlarge,16 vCPUs,32.0 GiB,C5A,Up to 10 Gigabit,$0.616 hourly,$0.388 hourly,$0.388 hourly,$0.292800 hourly,$0.377300 hourly,EBS only,64-bit,AWS
R5A 12xlarge,r5a.12xlarge,48 vCPUs,384.0 GiB,R5A,10 Gigabit,$2.712 hourly,$1.709 hourly,$1.709 hourly,$0.876600 hourly,$1.532300 hourly,EBS only,64-bit,AWS
X2GD Medium,x2gd.medium,1 vCPUs,16.0 GiB,X2GD,Up to 10 Gigabit,$0.0835 hourly,$0.0515 hourly,$0.0515 hourly,$0.025100 hourly,$0.025100 hourly,59 GB                 NVMe SSD,64-bit,AWS
G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,48 vCPUs,192.0 GiB,G5,40 Gigabit,$5.672 hourly,$3.57336 hourly,$3.57336 hourly,$1.701600 hourly,$1.709200 hourly,3800 GB                 NVMe SSD,64-bit,AWS
C5AD Quadruple Extra Large,c5ad.4xlarge,16 vCPUs,32.0 GiB,C5AD,Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.433 hourly,$0.285000 hourly,$0.362700 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
R6GD Extra Large,r6gd.xlarge,4 vCPUs,32.0 GiB,R6GD,Up to 10 Gigabit,$0.2304 hourly,$0.1452 hourly,$0.1452 hourly,$0.074800 hourly,$0.074800 hourly,237 GB                 NVMe SSD,64-bit,AWS
G2 Double Extra Large,g2.2xlarge,8 vCPUs,15.0 GiB,G2,Moderate,$0.65 hourly,$0.474 hourly,$0.474 hourly,$0.195000 hourly,$0.195000 hourly,60 GB                 SSD,64-bit,AWS
M6G Large,m6g.large,2 vCPUs,8.0 GiB,M6G,Up to 10 Gigabit,$0.077 hourly,$0.0483 hourly,$0.0483 hourly,$0.035700 hourly,$0.035700 hourly,EBS only,64-bit,AWS
M5AD Eight Extra Large,m5ad.8xlarge,32 vCPUs,128.0 GiB,M5AD,Up to 10 Gigabit,$1.648 hourly,$1.038 hourly,$1.038 hourly,$0.556700 hourly,$0.932700 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
M6GD 16xlarge,m6gd.16xlarge,64 vCPUs,256.0 GiB,M6GD,25 Gigabit,$2.8928 hourly,$1.8225 hourly,$1.8225 hourly,$1.142600 hourly,$1.256100 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
G4AD 16xlarge,g4ad.16xlarge,64 vCPUs,256.0 GiB,G4AD,25 Gigabit,$3.468 hourly,$2.18484 hourly,$2.18484 hourly,$1.040400 hourly,$1.573900 hourly,2400 GB                 (2 * 1200 GB NVMe SSD),64-bit,AWS
R5DN 12xlarge,r5dn.12xlarge,48 vCPUs,384.0 GiB,R5DN,50 Gigabit,$4.008 hourly,$2.525 hourly,$2.525 hourly,$2.271500 hourly,$2.520500 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
C6GN Double Extra Large,c6gn.2xlarge,8 vCPUs,16.0 GiB,C6GN,Up to 25 Gigabit,$0.3456 hourly,$0.21813 hourly,$0.21813 hourly,$0.136000 hourly,$0.141000 hourly,EBS only,64-bit,AWS
M5A 24xlarge,m5a.24xlarge,96 vCPUs,384.0 GiB,M5A,20 Gigabit,$4.128 hourly,$2.601 hourly,$2.601 hourly,$1.660600 hourly,$1.766500 hourly,EBS only,64-bit,AWS
M6G Extra Large,m6g.xlarge,4 vCPUs,16.0 GiB,M6G,Up to 10 Gigabit,$0.154 hourly,$0.0966 hourly,$0.0966 hourly,$0.071400 hourly,$0.076900 hourly,EBS only,64-bit,AWS
R6GD Quadruple Extra Large,r6gd.4xlarge,16 vCPUs,128.0 GiB,R6GD,Up to 10 Gigabit,$0.9216 hourly,$0.5806 hourly,$0.5806 hourly,$0.299300 hourly,$0.325900 hourly,950 GB                 NVMe SSD,64-bit,AWS
M6A 12xlarge,m6a.12xlarge,48 vCPUs,192.0 GiB,M6A,18.75 Gigabit,$2.0736 hourly,$1.37169 hourly,$1.37169 hourly,$0.857000 hourly,$1.082900 hourly,EBS only,64-bit,AWS
G5G Metal,g5g.metal,64 vCPUs,128.0 GiB,G5G,25 Gigabit,$2.744 hourly,$1.7287 hourly,$1.7287 hourly,$0.823200 hourly,$0.823200 hourly,EBS only,64-bit,AWS
M6GD Medium,m6gd.medium,1 vCPUs,4.0 GiB,M6GD,Up to 10 Gigabit,$0.0452 hourly,$0.0285 hourly,$0.0285 hourly,$0.017900 hourly,$0.017900 hourly,59 GB                 NVMe SSD,64-bit,AWS
C6G 12xlarge,c6g.12xlarge,48 vCPUs,96.0 GiB,C6G,20 Gigabit,$1.632 hourly,$1.0282 hourly,$1.0282 hourly,$0.816200 hourly,$0.871000 hourly,EBS only,64-bit,AWS
M6GD Quadruple Extra Large,m6gd.4xlarge,16 vCPUs,64.0 GiB,M6GD,Up to 10 Gigabit,$0.7232 hourly,$0.4556 hourly,$0.4556 hourly,$0.285700 hourly,$0.320000 hourly,950 GB                 NVMe SSD,64-bit,AWS
C6GD Large,c6gd.large,2 vCPUs,4.0 GiB,C6GD,Up to 10 Gigabit,$0.0768 hourly,$0.0484 hourly,$0.0484 hourly,$0.034000 hourly,$0.034000 hourly,118 GB                 NVMe SSD,64-bit,AWS
C5A 16xlarge,c5a.16xlarge,64 vCPUs,128.0 GiB,C5A,20 Gigabit,$2.464 hourly,$1.552 hourly,$1.552 hourly,$1.036400 hourly,$1.455800 hourly,EBS only,64-bit,AWS
C6A 24xlarge,c6a.24xlarge,96 vCPUs,192.0 GiB,C6A,37.5 Gigabit,$3.672 hourly,$2.42903 hourly,$2.42903 hourly,$1.632300 hourly,$2.225000 hourly,EBS only,64-bit,AWS
T4G Small,t4g.small,2 vCPUs                                                         for a                   4h 48m                   burst,2.0 GiB,T4G,Up to 5 Gigabit,$0.0168 hourly,$0.0105 hourly,$0.0105 hourly,$0.005000 hourly,$0.005000 hourly,EBS only,64-bit,AWS
M5DN Double Extra Large,m5dn.2xlarge,8 vCPUs,32.0 GiB,M5DN,Up to 25 Gigabit,$0.544 hourly,$0.343 hourly,$0.343 hourly,$0.239300 hourly,$0.393000 hourly,300 GB                 NVMe SSD,64-bit,AWS
R5B Quadruple Extra Large,r5b.4xlarge,16 vCPUs,128.0 GiB,R5B,Up to 10 Gigabit,$1.192 hourly,$0.75096 hourly,$0.75096 hourly,$0.346400 hourly,$0.809900 hourly,EBS only,64-bit,AWS
R5AD Large,r5ad.large,2 vCPUs,16.0 GiB,R5AD,Up to 10 Gigabit,$0.131 hourly,$0.083 hourly,$0.083 hourly,$0.035600 hourly,$0.035800 hourly,75 GB                 NVMe SSD,64-bit,AWS
IM4GN Eight Extra Large,im4gn.8xlarge,32 vCPUs,128.0 GiB,IM4GN,50 Gigabit,$2.91034 hourly,$1.86648 hourly,$1.86648 hourly,$0.873100 hourly,$0.873100 hourly,15000 GB                 (2 * 7500 GB NVMe SSD),64-bit,AWS
X2GD Eight Extra Large,x2gd.8xlarge,32 vCPUs,512.0 GiB,X2GD,12 Gigabit,$2.672 hourly,$1.6466 hourly,$1.6466 hourly,$0.801600 hourly,$1.016700 hourly,1900 GB                 NVMe SSD,64-bit,AWS
R5AD Eight Extra Large,r5ad.8xlarge,32 vCPUs,256.0 GiB,R5AD,Up to 10 Gigabit,$2.096 hourly,$1.32 hourly,$1.32 hourly,$0.575500 hourly,$1.438100 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
C6G Metal,c6g.metal,64 vCPUs,128.0 GiB,C6G,25 Gigabit,$2.176 hourly,$1.3709 hourly,$1.3709 hourly,$1.088200 hourly,$1.088200 hourly,EBS only,64-bit,AWS
C6GD Eight Extra Large,c6gd.8xlarge,32 vCPUs,64.0 GiB,C6GD,12 Gigabit,$1.2288 hourly,$0.7741 hourly,$0.7741 hourly,$0.544100 hourly,$0.544100 hourly,1900 GB                 NVMe SSD,64-bit,AWS
M6A Double Extra Large,m6a.2xlarge,8 vCPUs,32.0 GiB,M6A,Up to 12.5 Gigabit,$0.3456 hourly,$0.22861 hourly,$0.22861 hourly,$0.152900 hourly,$0.183800 hourly,EBS only,64-bit,AWS
M6G Quadruple Extra Large,m6g.4xlarge,16 vCPUs,64.0 GiB,M6G,Up to 10 Gigabit,$0.616 hourly,$0.3864 hourly,$0.3864 hourly,$0.286600 hourly,$0.315600 hourly,EBS only,64-bit,AWS
R3 High-Memory Quadruple Extra Large,r3.4xlarge,16 vCPUs,122.0 GiB,R3,High,$1.33 hourly,$0.836 hourly,$0.836 hourly,$0.265100 hourly,$0.353600 hourly,320 GB                 SSD,64-bit,AWS
M6GD Extra Large,m6gd.xlarge,4 vCPUs,16.0 GiB,M6GD,Up to 10 Gigabit,$0.1808 hourly,$0.1139 hourly,$0.1139 hourly,$0.071400 hourly,$0.079300 hourly,237 GB                 NVMe SSD,64-bit,AWS
M5AD 12xlarge,m5ad.12xlarge,48 vCPUs,192.0 GiB,M5AD,10 Gigabit,$2.472 hourly,$1.557 hourly,$1.557 hourly,$0.816200 hourly,$1.645100 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
C5AD Large,c5ad.large,2 vCPUs,4.0 GiB,C5AD,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.054 hourly,$0.032400 hourly,$0.032400 hourly,75 GB                 NVMe SSD,64-bit,AWS
IM4GN Quadruple Extra Large,im4gn.4xlarge,16 vCPUs,64.0 GiB,IM4GN,25 Gigabit,$1.45517 hourly,$0.93324 hourly,$0.93324 hourly,$0.436600 hourly,$0.436600 hourly,7500 GB                 NVMe SSD,64-bit,AWS
IM4GN Large,im4gn.large,2 vCPUs,8.0 GiB,IM4GN,Up to 25 Gigabit,$0.1819 hourly,$0.11665 hourly,$0.11665 hourly,$0.054600 hourly,$0.054600 hourly,937 GB                 NVMe SSD,64-bit,AWS
M5AD 16xlarge,m5ad.16xlarge,64 vCPUs,256.0 GiB,M5AD,12 Gigabit,$3.296 hourly,$2.076 hourly,$2.076 hourly,$1.088200 hourly,$1.632700 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
T4G Medium,t4g.medium,2 vCPUs                                                         for a                   4h 48m                   burst,4.0 GiB,T4G,Up to 5 Gigabit,$0.0336 hourly,$0.0211 hourly,$0.0211 hourly,$0.010100 hourly,$0.010100 hourly,EBS only,64-bit,AWS
C5AD Double Extra Large,c5ad.2xlarge,8 vCPUs,16.0 GiB,C5AD,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.217 hourly,$0.147300 hourly,$0.270300 hourly,300 GB                 NVMe SSD,64-bit,AWS
IS4GEN Double Extra Large,is4gen.2xlarge,8 vCPUs,48.0 GiB,IS4GEN,Up to 25 Gigabit,$1.1526 hourly,$0.78611 hourly,$0.78611 hourly,$0.345800 hourly,$0.345800 hourly,7500 GB                 NVMe SSD,64-bit,AWS
C5A Large,c5a.large,2 vCPUs,4.0 GiB,C5A,Up to 10 Gigabit,$0.077 hourly,$0.049 hourly,$0.049 hourly,$0.032400 hourly,$0.037300 hourly,EBS only,64-bit,AWS
X2GD Large,x2gd.large,2 vCPUs,32.0 GiB,X2GD,Up to 10 Gigabit,$0.167 hourly,$0.1029 hourly,$0.1029 hourly,$0.050100 hourly,$0.050100 hourly,118 GB                 NVMe SSD,64-bit,AWS
R5DN 24xlarge,r5dn.24xlarge,96 vCPUs,768.0 GiB,R5DN,100 Gigabit,$8.016 hourly,$5.05 hourly,$5.05 hourly,$2.294000 hourly,$4.387000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
C6GN Quadruple Extra Large,c6gn.4xlarge,16 vCPUs,32.0 GiB,C6GN,Up to 25 Gigabit,$0.6912 hourly,$0.43625 hourly,$0.43625 hourly,$0.272100 hourly,$0.275700 hourly,EBS only,64-bit,AWS
G2 Eight Extra Large,g2.8xlarge,32 vCPUs,60.0 GiB,G2,High,$2.6 hourly,$1.896 hourly,$1.896 hourly,$0.780000 hourly,$2.600000 hourly,240 GB                 (2 * 120 GB SSD),64-bit,AWS
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,8 vCPUs,32.0 GiB,G5,Up to 10 Gigabit,$1.212 hourly,$0.76356 hourly,$0.76356 hourly,$0.363600 hourly,$0.370700 hourly,450 GB                 NVMe SSD,64-bit,AWS
IS4GEN Medium,is4gen.medium,1 vCPUs,6.0 GiB,IS4GEN,Up to 25 Gigabit,$0.14408 hourly,$0.09826 hourly,$0.09826 hourly,$0.043200 hourly,$0.043200 hourly,937 GB                 NVMe SSD,64-bit,AWS
R3 High-Memory Eight Extra Large,r3.8xlarge,32 vCPUs,244.0 GiB,R3,10 Gigabit,$2.66 hourly,$1.672 hourly,$1.672 hourly,$0.519200 hourly,$0.661500 hourly,640 GB                 (2 * 320 GB SSD),64-bit,AWS
R6G Quadruple Extra Large,r6g.4xlarge,16 vCPUs,128.0 GiB,R6G,Up to 10 Gigabit,$0.8064 hourly,$0.508 hourly,$0.508 hourly,$0.299300 hourly,$0.349100 hourly,EBS only,64-bit,AWS
T3A Small,t3a.small,2 vCPUs                                                         for a                   4h 48m                   burst,2.0 GiB,T3A,Up to 5 Gigabit,$0.0188 hourly,$0.0118 hourly,$0.0118 hourly,$0.006400 hourly,$0.007100 hourly,EBS only,64-bit,AWS
M1 General Purpose Large,m1.large,2 vCPUs,7.5 GiB,M1,Moderate,$0.175 hourly,$0.112 hourly,$0.112 hourly,$0.017500 hourly,$0.019900 hourly,840 GB                 (2 * 420 GB HDD),64-bit,AWS
M2 High Memory Quadruple Extra Large,m2.4xlarge,8 vCPUs,68.4 GiB,M2,High,$0.98 hourly,$0.444 hourly,$0.444 hourly,$0.098000 hourly,$0.615400 hourly,1680 GB                 (2 * 840 GB HDD),64-bit,AWS
G5G 16xlarge,g5g.16xlarge,64 vCPUs,128.0 GiB,G5G,25 Gigabit,$2.744 hourly,$1.7287 hourly,$1.7287 hourly,$0.823200 hourly,$0.823200 hourly,EBS only,64-bit,AWS
M6GD Metal,m6gd.metal,64 vCPUs,256.0 GiB,M6GD,25 Gigabit,$2.8928 hourly,$1.8225 hourly,$1.8225 hourly,$1.142600 hourly,$1.142600 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
M2 High Memory Extra Large,m2.xlarge,2 vCPUs,17.1 GiB,M2,Moderate,$0.245 hourly,$0.111 hourly,$0.111 hourly,$0.024500 hourly,$0.029600 hourly,420 GB                 HDD,64-bit,AWS
C1 High-CPU Medium,c1.medium,2 vCPUs,1.7 GiB,C1,Moderate,$0.13 hourly,$0.091 hourly,$0.091 hourly,$0.013000 hourly,$0.043000 hourly,350 GB                 HDD                 + 900MB swap,32/64-bit,AWS
